Active Life;Tennis;Parks;Playgrounds,The park is small  but nice. Its about 1/4 mile south of Summerlin Parkway and the CAT bus depot. There are a lot of benches  trees for shade  a playground  and a splash pad- although the splash pad is concrete. If they had made the pad with the rubber material this would be a 5Star Park. Parking is on the little side street  no parking lot that I could see.   This park could easily be confused with the small park north of the CAT bus depot. While both parks are nice  the Northern Park does not have a splash pad.
Active Life;Tennis;Parks;Playgrounds,This park is always such a nice place to come to! Always clean and the grass is always nicely cut. Very family friendly for the kids with the play area and the bbq areas for the adults. There's also a walk path  it's nicely kept and its a very nice walk along side the golf course. Pet friendly too as well
Active Life;Tennis;Parks;Playgrounds,This park is a nice park with a lot of grassy area and connected to some nice trails. It is your average barely maintained City of Las Vegas park.
Active Life;Tennis;Parks;Playgrounds,I love love love this park but have had issues at night lately with people in bushes and on the slides in the dark alone....which is super creepy when you don't see them...We take our dogs here to chase rabbits late night (they don't hurt them just chase them for fun) and coyotes have been coming down from the mountains to feed on the rabbits so please be careful with your dogs!!! They hang out in on the hill and gutter between the park and golf coarse...Im sure they come into the park with the hill running alongside it... I just never saw them inside the park myself only on the hill....I really wish I could go back but with the creepers and coyotes I'd have to leave my kids and dogs at home....which kind of defeats my purpose =(
Active Life;Tennis;Parks;Playgrounds,THE SOUTHEAST GATEWAY PARK TO ANGEL PARK TRAIL    Angel Park  located at the southwest corner of Durango Drive at Venetian Strada is the Gateway to Angel Park Trail. At 6 acres  Angel Park provides tennis courts  a playground   open grassy spaces  picnic tables  and a scenic view of the distant mountains towering over the adjacent Angel Park Golf Course.    Angel Park is a nice place for families and laid back people. There is a well-kept playground adjacent to picnic tables. When people swing on the two swings  they take in the photo spot of the distant mountains towering over the close-up Angel Park Golf Course. When people step off the swings  there are a couple of turtle statues nearby  if I am not mistaken work as a splash pad. When people walk further back they will reach the dead-end of the tennis courts. Minus graffiti   offensive words are nonexistent on park equipment. This adds to the family-friendly environment.     Pink pathways (to my eyes) and green grass are the attractive color patterns of Angel Park. The pink different the Angel Park walking path from the Angel Park Trail that feeds into it and runs parallel along the north border overlooking Angel Park Golf Course. The majority of the 6 acres is a carpet of deep green grass sparsely blanketed by a canopy of trees.   Angel Park is where people step off Angel Park Trail to shape-up at fitness equiptment. Happiness is health. And Angel Park is an attractive spot to get happy.    The major flaw of Angel Park is that it needs a parking lot. The only place to park is on Venetian Stranda. On my visit  I parked a relatively short distance north of Angel Park in the R.T.C. Park & Ride at Durango and Westcliff. It only took a few minutes for me to reach Angel Park by ways of Angel Park Trail.    Angel Park is a nice Gateway to Angel Park Trail. The City of Las Vegas is doing a nice job maintaining it  controlling graffiti and vandalism  and keeping it clean. This is the type of environment that I enjoyed spending some time in when I stepped off the Angel Park Trail.
Active Life;Tennis;Parks;Playgrounds,This is an awesome park! Great walking trails  very nice location with mountain views and easily accessible from anywhere in LV! (It's located next to the LV transit system)   This place is great for family's and pets!   Enjoy...
Active Life;Tennis;Parks;Playgrounds,Angel Park playground and fenced water feature. Near two tennis courts  a trail that leads to Angel Park Golf Course  a walking/jogging track  picnic areas and public restrooms.
Active Life;Tennis;Parks;Playgrounds,"Best ""little"" park in vegas. My family and I frequent this park often. Small enough to see through whole park with a nice walking/bike  trail. Often times you will see wild bunnies running across the grass.Great park to fly a kite and just enjoy some green grass with plenty of shade.There is a playground as well and tennis courts ajacent to the bathrooms."
Active Life;Tennis;Parks;Playgrounds,Nice playground.  No splash pad.  Has two play structures one for little kids and one for bigger kids.  Has a nice spurs by ground instead of sand or cement.  Decent shade cover.  Only stayed at the playground but I don't see any restrooms here.  Water fountains looks like one on the ground for animals.  Table and benches as we'll no grills.
Print Media;Mass Media,I went here to get my Las Vegas Advisor (LVA) Pocketbook of Value (POV). It includes 132 (this year) coupons and offers for places in and around Vegas. I stop in here 2 or 3 times a year for other various gaming books that are value priced from time to time. The selection of books and their price tag varies throughout the year. I snagged a great poker book for a few bucks on clearance that normally retails for around $25.  In my experience  the staff is always friendly and helpful. There is never a wait and they get you in and out quickly.
